state,percent_positive,percent_negative
Utah,0.22083704363312556,0.9091718610863758
Hawaii,0.2222222222222222,0.9277777777777778
Minnesota,0.2038712011577424,0.8985166425470333
Ohio,0.22072678331090176,0.8974128906834156
Oregon,0.20775,0.909125
Arkansas,0.2635135135135135,0.8631756756756757
Texas,0.21943706209229283,0.9072239671418217
North Dakota,0.259927797833935,0.8700361010830325
Pennsylvania,0.21247406041042194,0.8997002536315425
Connecticut,0.21720561317876755,0.8938377059182429
Vermont,0.1905972045743329,0.9034307496823379
Nebraska,0.20860927152317882,0.9213576158940397
Nevada,0.22033898305084745,0.9102322661644695
Washington,0.20372670807453416,0.909849157054126
Illinois,0.20053404539385847,0.9104138851802404
Oklahoma,0.1994949494949495,0.9158249158249159
Delaware,0.272108843537415,0.9115646258503401
Alaska,0.23469387755102042,0.9251700680272109
New Mexico,0.18164435946462715,0.9101338432122371
West Virginia,0.2114695340501792,0.9121863799283154
Missouri,0.19504643962848298,0.9145510835913313
Rhode Island,0.21858638743455497,0.9096858638743456
Georgia,0.19658673579606825,0.903650896521927
Montana,0.2631578947368421,0.889602053915276
Michigan,0.20979270907791278,0.9051107934238742
Virginia,0.20357283078131136,0.9026305457400864
North Carolina,0.20868536667793172,0.9033457249070632
Wyoming,0.31333333333333335,0.8633333333333333
Kansas,0.21311475409836064,0.9069086651053864
New Jersey,0.22905181918412348,0.8974641675854466
Maryland,0.1985574883326262,0.9110451138452835
Alabama,0.20670103092783504,0.9201030927835051
Arizona,0.22391857506361323,0.8953915747808877
Iowa,0.18760611205432937,0.9044991511035654
Massachusetts,0.1996741223522441,0.9080136276107243
Kentucky,0.2204155374887082,0.8982234266787112
Louisiana,0.21243523316062177,0.92079940784604
Mississippi,0.18250950570342206,0.9125475285171103
Tennessee,0.19571619812583668,0.91619812583668
New Hampshire,0.1859504132231405,0.9132231404958677
Florida,0.2106644399379697,0.9014672551592509
Indiana,0.22619899785254116,0.9187544738725841
Idaho,0.17419354838709677,0.9247311827956989
South Carolina,0.21895232489699823,0.9099470276633314
South Dakota,0.23741007194244604,0.9136690647482014
California,0.22149774666794517,0.899702751941701
New York,0.20702949302833643,0.913834093683737
Wisconsin,0.20707532784385482,0.9063738944800244
Colorado,0.2080572488735754,0.9059104161144977
Maine,0.21936589545844046,0.922879177377892
