title,submission_score,percent_positive,percent_negative
Trump revealed highly classified information to Russian foreign minister and ambassador.,98337,0.21497252747252749,0.9168956043956044
"Trump Ordered Mueller Fired, but Backed Off When White House Counsel Threatened to Quit",94398,0.18703506907545164,0.9373007438894793
The FCC’s craven net neutrality vote announcement makes no mention of the 22 million comments filed,87083,0.21897810218978103,0.9124087591240876
A petition calling for FCC Chairman Ajit Pai to resign is racking up huge numbers,87010,0.31007751937984496,0.875968992248062
The FCC has unveiled its plan to repeal its net neutrality rules,81599,0.25,0.8657407407407407
‘Cards Against Humanity’ Creator Just Pledged To Buy and Publish Congress’s Browser History,79252,0.19708029197080293,0.8832116788321168
CNN and other news organizations were blocked Friday from a White House press briefing.,77278,0.24751381215469614,0.9116022099447514
All References to Climate Change Have Been Deleted From the White House Website,76171,0.23333333333333334,0.9063492063492063
"Maloney Introduces Legislation to Save the Open Internet, Block FCC Rollback of Net Neutrality",73315,0.21212121212121213,0.803030303030303
Cards Against Humanity buys plot of land on U.S./Mexico border to block border wall,72788,0.2458628841607565,0.900709219858156
